,title,company_name,location,stipend,intern_type
7679,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
7680,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
7681,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
7682,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
7683,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
7684,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
7685,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
7686,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7687,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7688,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
7689,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
7690,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
7691,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
7692,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
7693,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
7694,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
