,title,company_name,location,stipend,intern_type
5723,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
5724,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
5725,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
5726,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
5727,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
5728,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
5729,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
5730,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
5731,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
5732,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
5733,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
5734,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
5735,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
5736,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
5737,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
5738,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
5739,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
5740,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
